               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.024497,           0.0097253,           0.0085539,             0.47954,             0.59167,             0.50021,              0.3205,            0.030661,           0.0051975,            0.011534,           0.0082746,           0.0082746,           0.0082746
                  63,            0.023204,           0.0093964,           0.0087839,             0.52001,             0.64167,             0.59344,             0.38769,            0.024789,           0.0043088,            0.011225,           0.0082463,           0.0082463,           0.0082463
                  64,            0.023623,           0.0097385,           0.0084765,             0.52147,             0.68719,             0.62956,             0.41301,            0.029664,           0.0043496,            0.011995,            0.008218,            0.008218,            0.008218
                  65,            0.022829,           0.0098473,           0.0087222,             0.47728,             0.70644,             0.56503,             0.37024,            0.028096,           0.0044587,            0.011543,           0.0081897,           0.0081897,           0.0081897
                  66,            0.022688,           0.0095094,            0.008259,             0.58388,              0.6625,             0.63735,             0.41138,             0.02924,           0.0042226,             0.01276,           0.0081614,           0.0081614,           0.0081614
                  67,            0.023005,           0.0095562,           0.0087382,             0.55912,             0.70417,             0.61283,             0.40834,            0.024925,           0.0039393,            0.012694,           0.0081331,           0.0081331,           0.0081331
                  68,            0.023301,           0.0096272,           0.0082983,             0.60285,               0.725,             0.65806,             0.43575,            0.025419,           0.0040246,            0.010595,           0.0081049,           0.0081049,           0.0081049
                  69,            0.023095,           0.0094273,           0.0093217,             0.55491,             0.67624,             0.62086,             0.39244,            0.028261,           0.0045529,             0.01246,           0.0080766,           0.0080766,           0.0080766
                  70,            0.023342,           0.0096006,            0.009236,             0.55073,             0.57917,             0.57475,             0.37185,            0.028133,           0.0043446,            0.012641,           0.0080483,           0.0080483,           0.0080483
                  71,            0.024008,           0.0095759,           0.0086315,              0.5835,             0.65957,             0.64592,             0.42736,            0.027366,           0.0041742,            0.011204,             0.00802,             0.00802,             0.00802
                  72,            0.023598,           0.0096622,           0.0082957,             0.65744,             0.68711,             0.67159,              0.4548,             0.02677,           0.0042446,            0.011415,           0.0079917,           0.0079917,           0.0079917
                  73,            0.023416,           0.0094447,           0.0078625,             0.50171,             0.70265,             0.61258,               0.391,            0.025686,           0.0042601,            0.011235,           0.0079634,           0.0079634,           0.0079634
                  74,            0.023327,           0.0092121,           0.0084082,             0.51722,             0.70417,             0.58967,             0.38186,             0.02454,           0.0040263,            0.012154,           0.0079351,           0.0079351,           0.0079351
                  75,             0.02357,           0.0093242,           0.0083282,             0.56254,             0.73634,             0.63807,             0.42252,            0.025917,           0.0040153,            0.010323,           0.0079069,           0.0079069,           0.0079069
                  76,            0.023448,           0.0095344,           0.0076596,             0.53297,             0.77083,             0.62412,             0.40607,            0.028804,           0.0040227,             0.01204,           0.0078786,           0.0078786,           0.0078786
                  77,            0.023716,           0.0093477,           0.0079155,             0.54575,             0.65833,             0.60027,             0.37984,            0.029784,           0.0044031,            0.012741,           0.0078503,           0.0078503,           0.0078503
                  78,            0.023388,           0.0096078,           0.0079337,             0.55112,             0.62917,             0.60954,             0.40146,            0.025269,           0.0041943,            0.011822,            0.007822,            0.007822,            0.007822
                  79,            0.022598,           0.0091478,           0.0077129,             0.55617,             0.69167,             0.62906,             0.41064,            0.025321,           0.0041826,             0.01125,           0.0077937,           0.0077937,           0.0077937
                  80,            0.023142,            0.009771,           0.0075828,             0.60809,               0.635,              0.6294,             0.40113,            0.023008,           0.0040677,            0.011401,           0.0077654,           0.0077654,           0.0077654
                  81,            0.022388,           0.0093891,           0.0075929,             0.66111,             0.72083,             0.69045,             0.44756,            0.026282,           0.0039557,           0.0094465,           0.0077371,           0.0077371,           0.0077371
                  82,            0.022186,            0.009213,           0.0080357,             0.61562,             0.67712,             0.65434,             0.44847,            0.025852,           0.0040174,             0.01213,           0.0077089,           0.0077089,           0.0077089
                  83,            0.022455,            0.009355,            0.007424,             0.59115,             0.59583,             0.62841,               0.423,            0.024949,           0.0040318,            0.012508,           0.0076806,           0.0076806,           0.0076806
                  84,             0.02198,           0.0093219,           0.0069709,             0.47553,             0.60833,              0.5582,             0.35645,            0.027536,           0.0042951,            0.012041,           0.0076523,           0.0076523,           0.0076523
                  85,              0.0227,           0.0094294,           0.0075062,             0.52512,             0.62083,             0.63101,             0.41437,             0.02391,           0.0042619,            0.012251,            0.007624,            0.007624,            0.007624
                  86,            0.022453,           0.0092596,           0.0072582,             0.53835,             0.66832,             0.60608,              0.3883,            0.025956,           0.0040705,            0.011577,           0.0075957,           0.0075957,           0.0075957
                  87,            0.021991,           0.0091508,           0.0066032,             0.55761,             0.69527,             0.64123,             0.42177,            0.025552,            0.004243,            0.012143,           0.0075674,           0.0075674,           0.0075674
                  88,            0.022301,            0.009445,            0.007396,              0.5394,             0.75045,             0.59708,             0.39005,            0.025947,           0.0041075,            0.013108,           0.0075391,           0.0075391,           0.0075391
                  89,            0.022037,           0.0095038,           0.0077484,             0.50377,             0.68636,             0.60026,             0.39426,            0.027175,           0.0043464,             0.01177,           0.0075109,           0.0075109,           0.0075109
                  90,            0.022384,           0.0093823,           0.0077731,              0.6637,             0.61667,             0.66861,             0.44777,            0.024356,           0.0040047,            0.010763,           0.0074826,           0.0074826,           0.0074826
                  91,            0.022021,           0.0091072,           0.0067172,             0.60052,             0.74232,             0.68593,             0.45433,             0.02396,           0.0040863,            0.010393,           0.0074543,           0.0074543,           0.0074543
                  92,             0.02133,           0.0092949,           0.0067868,             0.47173,             0.71006,             0.60913,             0.39241,             0.02636,           0.0043622,             0.01008,            0.007426,            0.007426,            0.007426
                  93,            0.021688,           0.0092388,           0.0068127,             0.58422,             0.69583,             0.66603,             0.44714,            0.025466,           0.0044103,            0.010323,           0.0073977,           0.0073977,           0.0073977
                  94,            0.021928,           0.0092755,            0.007132,              0.6453,             0.62917,             0.68717,             0.45498,            0.026297,            0.004253,           0.0090508,           0.0073694,           0.0073694,           0.0073694
                  95,            0.022336,           0.0091335,           0.0068551,             0.56988,               0.675,             0.68609,              0.4571,            0.027105,           0.0045088,            0.010436,           0.0073411,           0.0073411,           0.0073411
                  96,            0.021764,           0.0092984,            0.006784,             0.58786,             0.71638,             0.64575,             0.43093,            0.024699,           0.0042925,            0.012823,           0.0073129,           0.0073129,           0.0073129
                  97,              0.0213,           0.0092638,           0.0065431,             0.55092,             0.67928,             0.67121,             0.45589,            0.026115,           0.0041494,            0.012694,           0.0072846,           0.0072846,           0.0072846
                  98,            0.021611,           0.0092487,           0.0069807,              0.5982,             0.70833,             0.65355,             0.42194,            0.024695,            0.004108,            0.011244,           0.0072563,           0.0072563,           0.0072563
                  99,            0.021743,           0.0092319,           0.0072347,             0.69268,             0.60417,             0.64311,             0.40734,            0.026258,           0.0042412,            0.011651,            0.007228,            0.007228,            0.007228
                 100,            0.021833,           0.0093388,           0.0068696,             0.64393,             0.66223,             0.66213,             0.43681,            0.025318,           0.0043643,            0.010088,           0.0071997,           0.0071997,           0.0071997
                 101,            0.021311,           0.0090202,           0.0063342,             0.55453,                0.65,             0.64381,             0.41517,            0.028093,           0.0045182,           0.0099707,           0.0071714,           0.0071714,           0.0071714
                 102,            0.021472,           0.0091377,           0.0076504,             0.53459,             0.66682,             0.58939,             0.38264,            0.027334,           0.0046023,            0.011624,           0.0071431,           0.0071431,           0.0071431
                 103,             0.02114,           0.0092482,           0.0066291,             0.47059,             0.62083,              0.5251,             0.33117,            0.026932,           0.0049055,            0.012579,           0.0071149,           0.0071149,           0.0071149
                 104,            0.020887,            0.009217,           0.0065631,             0.58943,              0.6625,             0.64986,             0.42712,            0.024722,           0.0040582,            0.011022,           0.0070866,           0.0070866,           0.0070866
                 105,             0.02162,            0.009212,           0.0060525,             0.65608,                 0.7,             0.69225,              0.4685,            0.024744,           0.0040818,            0.011134,           0.0070583,           0.0070583,           0.0070583
                 106,            0.021309,           0.0090912,            0.006936,             0.52689,              0.7125,             0.65138,             0.43645,            0.025266,           0.0040758,            0.011044,             0.00703,             0.00703,             0.00703
                 107,            0.020553,           0.0092453,           0.0060436,             0.60594,             0.71163,             0.64687,             0.41905,            0.026896,           0.0042045,            0.011568,           0.0070017,           0.0070017,           0.0070017
                 108,            0.021053,           0.0090766,           0.0058288,             0.59789,             0.58304,             0.63519,             0.40852,            0.024728,           0.0040979,            0.014214,           0.0069734,           0.0069734,           0.0069734
                 109,            0.021175,            0.008949,           0.0061663,              0.6768,              0.6625,             0.69725,             0.45263,            0.024558,           0.0040766,           0.0098889,           0.0069451,           0.0069451,           0.0069451
                 110,            0.020545,           0.0090094,           0.0062532,             0.49758,             0.73333,             0.63991,              0.4287,            0.025879,           0.0040284,            0.010408,           0.0069169,           0.0069169,           0.0069169
                 111,            0.020776,           0.0088439,           0.0054582,             0.56967,             0.65833,             0.63703,             0.41999,            0.023885,            0.004088,            0.012939,           0.0068886,           0.0068886,           0.0068886
                 112,            0.020706,           0.0091854,           0.0059105,               0.632,             0.79167,             0.71117,              0.4673,            0.025532,           0.0041945,            0.010851,           0.0068603,           0.0068603,           0.0068603
                 113,            0.020585,           0.0086126,            0.005524,             0.64003,             0.69583,             0.69062,             0.44877,            0.024333,           0.0040779,            0.010725,            0.006832,            0.006832,            0.006832
                 114,            0.021231,           0.0088457,           0.0050596,             0.51269,             0.79583,              0.6289,             0.42104,            0.023543,           0.0040147,            0.012313,           0.0068037,           0.0068037,           0.0068037
                 115,            0.020726,           0.0089593,           0.0057877,             0.50043,             0.69102,             0.62094,             0.40881,              0.0287,           0.0043268,            0.012646,           0.0067754,           0.0067754,           0.0067754
                 116,            0.020523,           0.0088619,           0.0059934,             0.58308,             0.74545,             0.68201,             0.43386,            0.025147,           0.0039974,            0.013208,           0.0067471,           0.0067471,           0.0067471
                 117,            0.020715,           0.0090679,           0.0062093,             0.59649,             0.71821,             0.65787,             0.44757,            0.025677,           0.0042077,            0.011385,           0.0067189,           0.0067189,           0.0067189
                 118,            0.020179,            0.008754,           0.0057021,             0.67845,             0.60833,             0.66128,             0.43504,            0.025857,           0.0039464,            0.013243,           0.0066906,           0.0066906,           0.0066906
                 119,            0.020987,           0.0089397,           0.0064355,             0.67619,             0.64526,             0.67426,              0.4532,            0.025183,           0.0040742,            0.012866,           0.0066623,           0.0066623,           0.0066623
                 120,            0.020919,           0.0088567,           0.0066504,             0.61884,             0.51771,             0.54776,                0.37,            0.025125,           0.0047197,            0.014128,            0.006634,            0.006634,            0.006634
                 121,            0.021282,           0.0089257,            0.005601,             0.51913,             0.62083,             0.55005,             0.34781,            0.027008,           0.0045269,            0.013805,           0.0066057,           0.0066057,           0.0066057
                 122,            0.020869,           0.0085932,           0.0055582,             0.57499,             0.74583,             0.64777,             0.45194,             0.02561,           0.0039948,            0.013768,           0.0065774,           0.0065774,           0.0065774
                 123,            0.020633,           0.0090606,            0.005975,             0.61364,             0.60528,             0.64119,             0.40671,            0.026883,           0.0041965,            0.012171,           0.0065491,           0.0065491,           0.0065491
                 124,            0.020193,           0.0088477,           0.0058751,             0.60905,              0.6625,             0.66358,             0.43912,            0.026193,           0.0045429,            0.012955,           0.0065209,           0.0065209,           0.0065209
                 125,            0.021045,           0.0090488,            0.005945,             0.59804,             0.65387,             0.63077,             0.43527,            0.025017,           0.0042021,            0.014937,           0.0064926,           0.0064926,           0.0064926
                 126,            0.019778,           0.0090234,           0.0053818,             0.64604,             0.64284,             0.65473,             0.43557,            0.025837,           0.0044829,            0.011444,           0.0064643,           0.0064643,           0.0064643
                 127,            0.020879,           0.0087288,           0.0052278,             0.61356,                0.75,             0.69051,             0.46368,             0.02312,            0.004041,            0.012252,            0.006436,            0.006436,            0.006436
                 128,            0.020335,           0.0086138,           0.0054137,             0.61065,                0.65,             0.64801,             0.42382,            0.024422,           0.0040139,            0.012627,           0.0064077,           0.0064077,           0.0064077
                 129,            0.019758,           0.0086778,           0.0054594,             0.60177,             0.71345,             0.69999,              0.4681,             0.02284,           0.0039602,            0.012418,           0.0063794,           0.0063794,           0.0063794
                 130,            0.019716,           0.0085561,           0.0049493,             0.63356,               0.725,             0.68637,             0.44897,            0.024938,           0.0040026,             0.01266,           0.0063511,           0.0063511,           0.0063511
                 131,            0.019922,           0.0087106,             0.00519,             0.47806,             0.55833,             0.52656,             0.32777,            0.031158,           0.0054342,            0.012254,           0.0063229,           0.0063229,           0.0063229
                 132,            0.019384,           0.0085627,           0.0048041,             0.66324,             0.80313,             0.72517,             0.48917,             0.02505,           0.0038747,            0.010685,           0.0062946,           0.0062946,           0.0062946
                 133,            0.019382,           0.0082852,           0.0048704,             0.52744,             0.64167,              0.6244,             0.41436,            0.023198,           0.0040631,            0.014667,           0.0062663,           0.0062663,           0.0062663
                 134,            0.020295,           0.0088401,           0.0054082,             0.73836,              0.6875,              0.7313,             0.48958,            0.025412,            0.004219,            0.010829,            0.006238,            0.006238,            0.006238
                 135,            0.020147,           0.0088185,           0.0055812,             0.63232,             0.66158,             0.67025,             0.44656,            0.024692,           0.0041525,            0.012599,           0.0062097,           0.0062097,           0.0062097
