               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.023571,            0.010329,            0.013535,             0.52639,             0.94444,             0.64635,             0.48162,            0.012418,           0.0029162,            0.011377,            0.008911,            0.008911,            0.008911
                  57,             0.02429,            0.011387,            0.011307,             0.58356,             0.92739,             0.71083,             0.54697,            0.015059,           0.0027419,           0.0093292,           0.0088912,           0.0088912,           0.0088912
                  58,            0.023921,            0.010491,            0.016478,              0.5403,             0.82194,             0.63439,             0.48062,            0.011992,           0.0028224,            0.009391,           0.0088714,           0.0088714,           0.0088714
                  59,             0.02624,            0.011608,             0.01129,             0.47343,             0.86874,             0.61566,             0.39962,            0.016482,           0.0038967,            0.016599,           0.0088516,           0.0088516,           0.0088516
                  60,            0.022953,            0.011263,            0.010586,              0.5248,             0.90677,             0.63925,              0.4663,            0.015178,           0.0029096,            0.011093,           0.0088318,           0.0088318,           0.0088318
                  61,            0.023819,            0.010371,            0.014851,             0.58316,             0.77778,             0.71509,             0.55957,            0.013358,           0.0026693,            0.011033,            0.008812,            0.008812,            0.008812
                  62,            0.023814,            0.011325,            0.012951,              0.5591,             0.66754,             0.70853,             0.53026,            0.011196,           0.0028891,            0.012571,           0.0087922,           0.0087922,           0.0087922
                  63,            0.023068,            0.011234,            0.012816,             0.60907,              0.7915,             0.68713,             0.55174,            0.012342,           0.0025716,            0.011047,           0.0087724,           0.0087724,           0.0087724
                  64,            0.024342,              0.0117,            0.012122,             0.51243,              0.9375,             0.60496,             0.42836,             0.01408,           0.0029622,            0.012522,           0.0087526,           0.0087526,           0.0087526
                  65,            0.022094,            0.011301,            0.013249,             0.45803,              0.8996,             0.62626,             0.49528,            0.014031,            0.002729,            0.010264,           0.0087328,           0.0087328,           0.0087328
                  66,            0.020763,            0.011475,            0.012534,             0.43708,             0.75758,             0.60562,             0.45775,             0.01111,           0.0033681,            0.010297,            0.008713,            0.008713,            0.008713
                  67,            0.018407,            0.010081,            0.010794,             0.49049,             0.83333,             0.66398,             0.50759,           0.0097915,           0.0030206,            0.011513,           0.0086932,           0.0086932,           0.0086932
                  68,            0.027359,            0.011192,             0.01451,             0.58544,             0.90443,             0.69186,             0.49864,            0.016437,           0.0032503,            0.013019,           0.0086734,           0.0086734,           0.0086734
                  69,            0.023343,            0.010427,            0.018526,             0.54548,             0.91319,             0.65982,             0.43202,            0.016823,           0.0032789,            0.023663,           0.0086536,           0.0086536,           0.0086536
